Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
2022-05-31,2024-04-05,675,1,2022-5916,105609.74,105609.74,False,Fully Paid,True,2022-05,2022,2024-04,2024,False,0.0
2023-08-16,2024-04-05,233,1,2023-6512,263821.73,263821.73,True,Fully Paid,True,2023-08,2023,2024-04,2024,False,0.0
2023-08-16,2024-04-05,233,1,2023-6512,90150.94,90150.94,True,Fully Paid,True,2023-08,2023,2024-04,2024,False,0.0
2023-08-16,2024-04-05,233,1,2023-6512,8442.53,8442.53,True,Fully Paid,True,2023-08,2023,2024-04,2024,False,0.0
2019-01-31,2019-09-17,229,1,2019-4610,102461.41,102461.4,True,Partially Paid,True,2019-01,2019,2019-09,2019,True,0.010000000009313226
2019-01-31,2019-09-17,229,1,2019-4610,102461.41,0.01,True,Partially Paid,True,2019-01,2019,2019-09,2019,True,102461.40000000001
2019-01-31,2019-09-17,229,1,2019-4610,61296.04,61296.04,True,Fully Paid,True,2019-01,2019,2019-09,2019,False,0.0
2019-07-31,2020-03-04,217,1,2019-4840,31578.29,31578.29,True,Fully Paid,True,2019-07,2019,2020-03,2020,False,0.0
2019-07-31,2020-03-04,217,1,2019-4840,22190.91,22190.91,True,Fully Paid,True,2019-07,2019,2020-03,2020,False,0.0
2019-07-31,2020-03-04,217,1,2019-4840,17435.27,17435.27,True,Fully Paid,True,2019-07,2019,2020-03,2020,False,0.0
2019-02-28,2019-09-17,201,1,2019-4654,44621.65,44621.65,True,Fully Paid,True,2019-02,2019,2019-09,2019,False,0.0
2019-02-28,2019-09-17,201,1,2019-4654,13355.94,13355.94,True,Fully Paid,True,2019-02,2019,2019-09,2019,False,0.0
2018-06-28,2019-01-09,195,1,2018-20184330,308482.12,308482.12,True,Fully Paid,True,2018-06,2018,2019-01,2019,False,0.0
2018-06-28,2019-01-09,195,1,2018-20184330,46435.98,46435.98,True,Fully Paid,True,2018-06,2018,2019-01,2019,False,0.0
2019-08-29,2020-03-04,188,1,2019-4873,48567.27,48567.27,True,Fully Paid,True,2019-08,2019,2020-03,2020,False,0.0
2019-08-29,2020-03-04,188,1,2019-4873,11834.44,11834.44,True,Fully Paid,True,2019-08,2019,2020-03,2020,False,0.0
2022-04-29,2022-10-14,168,1,2022-5878,81870.41,81870.41,True,Fully Paid,True,2022-04,2022,2022-10,2022,False,0.0
2022-04-29,2022-10-14,168,1,2022-5878,9029.56,9029.56,True,Fully Paid,True,2022-04,2022,2022-10,2022,False,0.0
2019-07-31,2019-12-29,151,1,2019-4844,545557.84,545557.84,False,Fully Paid,True,2019-07,2019,2019-12,2019,False,0.0
2022-06-30,2022-11-14,137,1,2022-5950,511391.92,511391.92,False,Fully Paid,True,2022-06,2022,2022-11,2022,False,0.0
2019-12-30,2020-05-11,133,1,2019-5012,504920.29,504920.29,False,Fully Paid,True,2019-12,2019,2020-05,2020,False,0.0
2019-10-30,2020-03-04,126,1,2019-4937,34555.13,34555.13,True,Fully Paid,True,2019-10,2019,2020-03,2020,False,0.0
2019-10-30,2020-03-04,126,1,2019-4937,12684.67,12684.67,True,Fully Paid,True,2019-10,2019,2020-03,2020,False,0.0
2018-09-30,2019-01-30,122,1,2018-20184451,159590.0,159590.0,True,Fully Paid,True,2018-09,2018,2019-01,2019,False,0.0
2022-06-16,2022-10-14,120,1,2022-5930,59577.03,59577.03,False,Fully Paid,True,2022-06,2022,2022-10,2022,False,0.0
2023-10-26,2024-02-21,118,1,2023-6591,115422.08,115422.08,False,Fully Paid,True,2023-10,2023,2024-02,2024,False,0.0
2019-04-30,2019-08-25,117,1,2019-4713,75567.44,75567.44,False,Fully Paid,True,2019-04,2019,2019-08,2019,False,0.0
2018-03-29,2018-07-18,111,1,2018-20184222,539101.9,539101.9,True,Fully Paid,True,2018-03,2018,2018-07,2018,False,0.0
2018-03-29,2018-07-18,111,1,2018-20184222,41447.58,41447.58,True,Fully Paid,True,2018-03,2018,2018-07,2018,False,0.0
2019-11-30,2020-03-18,109,1,2019-4977,308482.12,308482.12,True,Fully Paid,True,2019-11,2019,2020-03,2020,False,0.0
2019-11-30,2020-03-18,109,1,2019-4977,46435.98,46435.98,True,Fully Paid,True,2019-11,2019,2020-03,2020,False,0.0
2019-11-30,2020-03-18,109,1,2019-4977,18289.78,18289.78,True,Fully Paid,True,2019-11,2019,2020-03,2020,False,0.0
2023-11-17,2024-02-27,102,1,2023-6627,503724.14,503724.14,False,Fully Paid,True,2023-11,2023,2024-02,2024,False,0.0
2018-09-30,2019-01-09,101,1,2018-20184451,308482.12,308482.12,True,Fully Paid,True,2018-09,2018,2019-01,2019,False,0.0
2022-03-31,2022-07-01,92,1,2022-5863,584352.38,584352.38,True,Fully Paid,True,2022-03,2022,2022-07,2022,False,0.0
2022-03-31,2022-07-01,92,1,2022-5856,227788.8,227788.8,False,Fully Paid,True,2022-03,2022,2022-07,2022,False,0.0
2022-03-31,2022-07-01,92,1,2022-5863,105175.91,105175.91,True,Fully Paid,True,2022-03,2022,2022-07,2022,False,0.0
2022-03-31,2022-07-01,92,1,2022-5855,18722.47,18722.47,False,Fully Paid,True,2022-03,2022,2022-07,2022,False,0.0
